id,value
Users.Serbia and Montenegro.Indonesian,1
Users.Serbia and Montenegro.Serbian,4
Users.Singapore,
Users.Singapore.Afrikaans,1
Users.Singapore.Albanian,1
Users.Singapore.Catalan,1
Users.Singapore.Chinese,25
Users.Singapore.English,5722
Users.Singapore.Esperanto,3
Users.Singapore.Filipino,1
Users.Singapore.French,2
Users.Singapore.German,2
Users.Singapore.Indonesian,224
Users.Singapore.Japanese,3
Users.Singapore.Korean,1
Users.Singapore.Malay,3
Users.Singapore.Norwegian,1
Users.Singapore.Punjabi,1
Users.Singapore.Spanish,3
Users.Slovakia,
Users.Slovakia.Czech,20
Users.Slovakia.English,259
Users.Slovakia.German,1
Users.Slovakia.Hungarian,13
Users.Slovakia.Slovak,22
Users.Slovakia.Spanish,1
Users.Slovenia,
Users.Slovenia.Croatian,1
Users.Slovenia.English,267
Users.Slovenia.French,2
Users.Slovenia.Italian,1
Users.Slovenia.Polish,1
Users.Slovenia.Spanish,2
Users.South Africa,
Users.South Africa.Afrikaans,4
Users.South Africa.English,1668
Users.South Africa.French,2
Users.South Africa.German,1
Users.South Africa.Indonesian,3
Users.South Africa.Japanese,1
Users.South Africa.Spanish,2
Users.Spain,
Users.Spain.Afrikaans,3
Users.Spain.Albanian,1
Users.Spain.Bulgarian,1
Users.Spain.Catalan,62
Users.Spain.Chinese,2
Users.Spain.Devanagari,1
Users.Spain.Dutch,1
Users.Spain.English,1917
Users.Spain.Esperanto,5
Users.Spain.Estonian,1
Users.Spain.Farsi,1
Users.Spain.Filipino,1
Users.Spain.Finnish,1
Users.Spain.French,52
Users.Spain.German,14
Users.Spain.Indonesian,3
Users.Spain.Italian,4
Users.Spain.Korean,1
Users.Spain.Norwegian,1
Users.Spain.Polish,5
Users.Spain.Portuguese,10
Users.Spain.Russian,2
Users.Spain.Spanish,10721
Users.Spain.Swedish,3
Users.Spain.Thai,1
Users.Sri Lanka,
Users.Sri Lanka.English,144
Users.Sweden,
Users.Sweden.Bulgarian,1
Users.Sweden.Dutch,3
Users.Sweden.English,4413
Users.Sweden.French,8
Users.Sweden.German,5
Users.Sweden.Hungarian,1
Users.Sweden.Indonesian,2
Users.Sweden.Italian,1
Users.Sweden.Polish,1
Users.Sweden.Spanish,21
Users.Sweden.Swedish,508
Users.Switzerland,
Users.Switzerland.English,596
Users.Switzerland.French,476
Users.Switzerland.German,156
Users.Switzerland.Others,34
Users.Taiwan,
Users.Taiwan.Chinese,13
Users.Taiwan.English,363
Users.Taiwan.French,1
Users.Taiwan.Indonesian,13
Users.Taiwan.Spanish,4
Users.Thailand,
Users.Thailand.Albanian,1
Users.Thailand.Danish,1
Users.Thailand.Dutch,1
Users.Thailand.English,550
Users.Thailand.French,5
Users.Thailand.German,2
Users.Thailand.Indonesian,1
Users.Thailand.Portuguese,1
Users.Thailand.Thai,8
Users.Trinidad and Tobago,
Users.Trinidad and Tobago.English,415
Users.Trinidad and Tobago.Spanish,3
Users.Tunisia,
Users.Tunisia.Devanagari,1
Users.Tunisia.English,51
Users.Tunisia.French,34
Users.Tunisia.German,1
Users.Tunisia.Hindi,1
Users.Turkey,
Users.Turkey.English,351
Users.Turkey.Estonian,1
Users.Turkey.French,5
Users.Turkey.German,4
Users.Turkey.Polish,1
Users.Turkey.Punjabi,1
Users.Turkey.Spanish,3
Users.Turkey.Turkish,39
Users.UK,
Users.UK.Afrikaans,2
Users.UK.Albanian,4
Users.UK.Arabic,2
Users.UK.Bulgarian,4
Users.UK.Catalan,2
Users.UK.Chinese,5
Users.UK.Croatian,1
Users.UK.Czech,4
Users.UK.Danish,1
Users.UK.Devanagari,1
Users.UK.Dutch,21
Users.UK.English,83508
Users.UK.Esperanto,8
Users.UK.Estonian,1
Users.UK.Filipino,3
Users.UK.Finnish,2
Users.UK.French,282
Users.UK.German,62
Users.UK.Greek,2
Users.UK.Hebrew,1
Users.UK.Hindi,2
Users.UK.Hungarian,8
Users.UK.Indonesian,85
Users.UK.Italian,16
Users.UK.Japanese,7
Users.UK.Korean,2
Users.UK.Latin,3
Users.UK.Polish,37
Users.UK.Portuguese,42
Users.UK.Punjabi,1
Users.UK.Romanian,3
Users.UK.Russian,4
Users.UK.Serbian,1
Users.UK.Slovak,1
Users.UK.Spanish,237
Users.UK.Swedish,9
Users.UK.Turkish,2
Users.Ukraine,
Users.Ukraine.English,159
Users.Ukraine.French,2
Users.Ukraine.Hungarian,1
Users.Ukraine.Polish,1
Users.Ukraine.Portuguese,1
Users.Ukraine.Russian,82
Users.Ukraine.Spanish,5
Users.Ukraine.Ukrainian,1
Users.United Arab Emirates,
Users.United Arab Emirates.English,622
Users.United Arab Emirates.Others,12
Users.Uruguay,
Users.Uruguay.Devanagari,1
Users.Uruguay.English,96
Users.Uruguay.French,2
Users.Uruguay.Latin,2
Users.Uruguay.Portuguese,3
Users.Uruguay.Spanish,448
Users.Venezuela,
Users.Venezuela.Albanian,1
Users.Venezuela.English,372
Users.Venezuela.Esperanto,4
Users.Venezuela.French,3
Users.Venezuela.Italian,1
Users.Venezuela.Latin,13
Users.Venezuela.Portuguese,2
Users.Venezuela.Spanish,3351
Users.Venezuela.Swedish,1
Users.Vietnam,
Users.Vietnam.Devanagari,1
Users.Vietnam.Dutch,1
Users.Vietnam.English,479
Users.Vietnam.Farsi,1
Users.Vietnam.French,5
Users.Vietnam.German,1
Users.Vietnam.Russian,3
Users.Vietnam.Slovak,1
Users.Vietnam.Spanish,2
Users.Vietnam.Swedish,1
Users.Vietnam.Vietnamese,110
Users.others,
Users.others.English,2733
Users.others.French,282
Users.others.Spanish,83
Users.others.Others,112
